Name: Screw Jam_0.7.0_Apkpure.apk
UnityVersion: 2021.3.23f1
IL2CPP: True
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 48, m_Name: Hidden/Universal Render Pipeline/Sampling, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 48, m_Name: Hidden/Universal Render Pipeline/Sampling, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 49, m_Name: Hidden/Universal Render Pipeline/ScreenSpaceShadows, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 49, m_Name: Hidden/Universal Render Pipeline/ScreenSpaceShadows, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 50, m_Name: Hidden/Universal Render Pipeline/Stop NaN, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 50, m_Name: Hidden/Universal Render Pipeline/Stop NaN, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 51, m_Name: Hidden/Universal Render Pipeline/CameraMotionBlur, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 51, m_Name: Hidden/Universal Render Pipeline/CameraMotionBlur, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 51, m_Name: Hidden/Universal Render Pipeline/CameraMotionBlur, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 51, m_Name: Hidden/Universal Render Pipeline/CameraMotionBlur, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 51, m_Name: Hidden/Universal Render Pipeline/CameraMotionBlur, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 51, m_Name: Hidden/Universal Render Pipeline/CameraMotionBlur, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 52, m_Name: Hidden/Universal Render Pipeline/BokehDepthOfField, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 53, m_Name: Hidden/Core/FallbackError, type: Shader}
Error convert for fragment shader {fileID: 0 (globalgamemanagers.assets), pathID: 53, m_Name: Hidden/Core/FallbackError, type: Shader}
Error convert for vertex shader {fileID: 0 (globalgamemanagers.assets), pathID: 54, m_Name: Hidden/Universal Render Pipeline/XR/XROcclusionMesh, type: Shader}
